layer,head,attrib_contrastive,attrib_ln_scaled,attrib_deceptive_only,pct_of_norm_v
2,13,-2.1787360310554504e-05,-2.0621344447135925e-05,-0.01312855165451765,-0.0002035778258664289
2,3,-2.987310290336609e-05,-2.1543586626648903e-05,-0.01122902799397707,-0.00027912979150600893
5,11,-3.040209412574768e-05,-2.540089190006256e-05,-0.027418414130806923,-0.0002840726061205311
5,0,-3.37846577167511e-05,-2.929847687482834e-05,-0.02416750229895115,-0.0003156787728105743
10,6,-3.937073051929474e-05,-2.3558735847473145e-05,-0.027679653838276863,-0.0003678741989688559
1,15,-4.5942142605781555e-05,-2.9872171580791473e-06,0.021359004080295563,-0.00042927648756052567
0,1,-5.917064845561981e-05,-2.8322450816631317e-05,-0.015081179328262806,-0.0005528816614772033
2,7,-6.24191015958786e-05,-9.904149919748306e-06,0.014106945134699345,-0.0005832347202368042
25,7,-6.592832505702972e-05,-2.1397601813077927e-05,0.013975105248391628,-0.0006160243777500428
13,13,-6.882287561893463e-05,-3.2763928174972534e-05,-0.018237479031085968,-0.0006430706239154212
4,7,-7.19856470823288e-05,-1.5061814337968826e-05,0.018210899084806442,-0.000672623085941684
6,7,-7.213559001684189e-05,-2.763979136943817e-05,-0.01453110110014677,-0.0006740241302250257
10,9,-8.153170347213745e-05,-7.692724466323853e-07,0.06059745326638222,-0.0007618200046016351
1,5,-8.804723620414734e-05,-1.937849447131157e-05,0.019415317103266716,-0.0008227001648889539
17,4,-8.973479270935059e-05,-0.0001747235655784607,-0.30922141671180725,-0.0008384684396803521
4,11,-9.318627417087555e-05,-4.1690655052661896e-05,-0.01770002394914627,-0.0008707185646124281
1,0,-9.413063526153564e-05,-1.3372860848903656e-05,0.04180249199271202,-0.0008795425329559589
15,0,-9.695068001747131e-05,-7.663853466510773e-06,-0.017760762944817543,-0.0009058926080488693
6,14,-9.942939504981041e-05,-2.9568560421466827e-05,0.006785151083022356,-0.0009290533494160361
6,15,-0.00010379520244896412,-2.9746966902166605e-05,-0.00256295851431787,-0.0009698467987280542
12,1,-0.00010538473725318909,-5.959160625934601e-05,-0.04640713334083557,-0.0009846991734522369
1,8,-0.00011477060616016388,-3.051944077014923e-05,0.014791811816394329,-0.001072399324306382
13,0,-0.00016085058450698853,-2.1265819668769836e-05,0.06433525681495667,-0.0015029637283509732
10,8,-0.000161781907081604,-5.764653906226158e-05,0.015849174931645393,-0.001511665866756822
2,6,-0.00016926031094044447,-5.557033000513911e-05,-0.002045803237706423,-0.001581542950388488
9,2,-0.00017363578081130981,-7.385667413473129e-05,-0.045905474573373795,-0.0016224266843864667
29,15,-0.0001778043806552887,-6.377045065164566e-05,-0.03185001388192177,-0.0016613774558910464
14,1,-0.00018447637557983398,-0.00010072439908981323,-0.07136999815702438,-0.001723719575430548
6,12,-0.00018615089356899261,-4.908256232738495e-05,0.016096942126750946,-0.001739366020284264
1,14,-0.0001924382522702217,-6.0389633290469646e-05,0.005596436094492674,-0.00179811415666215
25,4,-0.00019656307995319366,-0.00010240636765956879,-0.028315039351582527,-0.0018366559276616547
6,2,-0.00019937008619308472,-8.310377597808838e-05,-0.05786618962883949,-0.0018628841728168832
22,15,-0.0002088397741317749,-5.137920379638672e-05,0.05518772080540657,-0.0019513675161275548
21,2,-0.00021164864301681519,-5.097314715385437e-05,0.0222688689827919,-0.001977613165559595
